40,Color [A=255, R=255, G=206, B=31]
120,Color [A=255, R=255, G=255, B=255]
200,Color [A=255, R=0, G=0, B=0]
240,Color [A=255, R=255, G=255, B=255]
280,Color [A=255, R=0, G=0, B=0]
320,Color [A=255, R=255, G=255, B=255]
360,Color [A=255, R=0, G=0, B=0]
400,Color [A=255, R=255, G=255, B=255]
440,Color [A=255, R=0, G=0, B=0]
480,Color [A=255, R=255, G=255, B=255]
560,Color [A=255, R=0, G=0, B=0]
600,Color [A=255, R=255, G=255, B=255]
640,Color [A=255, R=0, G=0, B=0]
800,Color [A=255, R=255, G=255, B=255]
840,Color [A=255, R=0, G=0, B=0]
5160,Color [A=255, R=255, G=255, B=255]
5200,Color [A=255, R=0, G=0, B=0]
5320,Color [A=255, R=255, G=255, B=255]
5360,Color [A=255, R=0, G=0, B=0]
5560,Color [A=255, R=255, G=255, B=255]
5600,Color [A=255, R=0, G=0, B=0]
7720,Color [A=255, R=255, G=255, B=255]
7760,Color [A=255, R=0, G=0, B=0]
9600,Color [A=255, R=255, G=255, B=255]
9640,Color [A=255, R=0, G=0, B=0]
11400,Color [A=255, R=255, G=255, B=255]
11440,Color [A=255, R=0, G=0, B=0]
12280,Color [A=255, R=255, G=255, B=255]
12320,Color [A=255, R=0, G=0, B=0]
21880,Color [A=255, R=255, G=255, B=255]
21920,Color [A=255, R=0, G=0, B=0]
22120,Color [A=255, R=255, G=255, B=255]
22160,Color [A=255, R=0, G=0, B=0]
25560,Color [A=255, R=255, G=255, B=255]
25600,Color [A=255, R=0, G=0, B=0]
25720,Color [A=255, R=255, G=255, B=255]
25760,Color [A=255, R=0, G=0, B=0]
27200,Color [A=255, R=255, G=255, B=255]
27240,Color [A=255, R=0, G=0, B=0]
35000,Color [A=255, R=255, G=255, B=255]
35040,Color [A=255, R=0, G=0, B=0]
38480,Color [A=255, R=255, G=255, B=255]
38520,Color [A=255, R=0, G=0, B=0]
39600,Color [A=255, R=255, G=255, B=255]
39760,Color [A=255, R=0, G=0, B=0]
41760,Color [A=255, R=255, G=255, B=255]
41800,Color [A=255, R=0, G=0, B=0]
44680,Color [A=255, R=255, G=255, B=255]
44720,Color [A=255, R=0, G=0, B=0]
50040,Color [A=255, R=255, G=255, B=255]
50080,Color [A=255, R=0, G=0, B=0]
50480,Color [A=255, R=255, G=255, B=255]
50520,Color [A=255, R=0, G=0, B=0]
50560,Color [A=255, R=255, G=255, B=255]
50600,Color [A=255, R=0, G=0, B=0]
51560,Color [A=255, R=255, G=255, B=255]
51600,Color [A=255, R=0, G=0, B=0]
58760,Color [A=255, R=255, G=255, B=255]
58800,Color [A=255, R=0, G=0, B=0]
64000,Color [A=255, R=255, G=255, B=255]
64040,Color [A=255, R=0, G=0, B=0]
66000,Color [A=255, R=255, G=255, B=255]
66040,Color [A=255, R=0, G=0, B=0]
74160,Color [A=255, R=255, G=255, B=255]
74200,Color [A=255, R=0, G=0, B=0]
76440,Color [A=255, R=255, G=255, B=255]
76480,Color [A=255, R=0, G=0, B=0]
81880,Color [A=255, R=255, G=255, B=255]
81920,Color [A=255, R=0, G=0, B=0]
84920,Color [A=255, R=255, G=255, B=255]
84960,Color [A=255, R=0, G=0, B=0]
88560,Color [A=255, R=255, G=255, B=255]
88600,Color [A=255, R=0, G=0, B=0]
95480,Color [A=255, R=255, G=255, B=255]
95520,Color [A=255, R=0, G=0, B=0]
101680,Color [A=255, R=255, G=255, B=255]
101720,Color [A=255, R=0, G=0, B=0]
103560,Color [A=255, R=255, G=255, B=255]
103600,Color [A=255, R=0, G=0, B=0]
105000,Color [A=255, R=255, G=255, B=255]
105040,Color [A=255, R=0, G=0, B=0]
108960,Color [A=255, R=255, G=255, B=255]
109000,Color [A=255, R=0, G=0, B=0]
112000,Color [A=255, R=255, G=255, B=255]
112040,Color [A=255, R=0, G=0, B=0]
115920,Color [A=255, R=255, G=255, B=255]
115960,Color [A=255, R=0, G=0, B=0]
118840,Color [A=255, R=255, G=255, B=255]
118880,Color [A=255, R=0, G=0, B=0]
119600,Color [A=255, R=255, G=255, B=255]
119640,Color [A=255, R=0, G=0, B=0]
120600,Color [A=255, R=255, G=255, B=255]
120640,Color [A=255, R=0, G=0, B=0]
124280,Color [A=255, R=255, G=255, B=255]
124320,Color [A=255, R=0, G=0, B=0]
131960,Color [A=255, R=255, G=255, B=255]
132000,Color [A=255, R=0, G=0, B=0]
133720,Color [A=255, R=255, G=255, B=255]
133760,Color [A=255, R=0, G=0, B=0]
134800,Color [A=255, R=255, G=255, B=255]
134840,Color [A=255, R=0, G=0, B=0]
136920,Color [A=255, R=255, G=255, B=255]
136960,Color [A=255, R=0, G=0, B=0]
137080,Color [A=255, R=255, G=255, B=255]
137120,Color [A=255, R=0, G=0, B=0]
137320,Color [A=255, R=255, G=255, B=255]
137360,Color [A=255, R=0, G=0, B=0]
141040,Color [A=255, R=255, G=255, B=255]
141080,Color [A=255, R=0, G=0, B=0]
141320,Color [A=255, R=255, G=255, B=255]
141360,Color [A=255, R=0, G=0, B=0]
142040,Color [A=255, R=255, G=255, B=255]
142080,Color [A=255, R=0, G=0, B=0]
143080,Color [A=255, R=255, G=255, B=255]
143120,Color [A=255, R=0, G=0, B=0]
144880,Color [A=255, R=255, G=255, B=255]
144920,Color [A=255, R=0, G=0, B=0]
147320,Color [A=255, R=255, G=255, B=255]
147360,Color [A=255, R=0, G=0, B=0]
148440,Color [A=255, R=255, G=255, B=255]
148480,Color [A=255, R=0, G=0, B=0]
154560,Color [A=255, R=255, G=255, B=255]
154600,Color [A=255, R=0, G=0, B=0]
157080,Color [A=255, R=255, G=255, B=255]
157120,Color [A=255, R=0, G=0, B=0]
162880,Color [A=255, R=255, G=255, B=255]
162920,Color [A=255, R=0, G=0, B=0]
164600,Color [A=255, R=255, G=255, B=255]
164640,Color [A=255, R=0, G=0, B=0]
166120,Color [A=255, R=255, G=255, B=255]
166160,Color [A=255, R=0, G=0, B=0]
167160,Color [A=255, R=255, G=255, B=255]
167200,Color [A=255, R=0, G=0, B=0]
169320,Color [A=255, R=255, G=255, B=255]
169360,Color [A=255, R=0, G=0, B=0]
171200,Color [A=255, R=255, G=255, B=255]
171240,Color [A=255, R=0, G=0, B=0]
171680,Color [A=255, R=255, G=255, B=255]
171720,Color [A=255, R=0, G=0, B=0]
173880,Color [A=255, R=255, G=255, B=255]
173920,Color [A=255, R=0, G=0, B=0]
174360,Color [A=255, R=255, G=255, B=255]
174400,Color [A=255, R=0, G=0, B=0]
177360,Color [A=255, R=255, G=255, B=255]
177400,Color [A=255, R=0, G=0, B=0]
177520,Color [A=255, R=255, G=255, B=255]
177560,Color [A=255, R=0, G=0, B=0]
178040,Color [A=255, R=255, G=255, B=255]
178080,Color [A=255, R=0, G=0, B=0]
179600,Color [A=255, R=255, G=255, B=255]
179640,Color [A=255, R=0, G=0, B=0]
179680,Color [A=255, R=255, G=255, B=255]
179800,Color [A=255, R=0, G=0, B=0]
179880,Color [A=255, R=255, G=255, B=255]
179920,Color [A=255, R=0, G=0, B=0]
180200,Color [A=255, R=255, G=255, B=255]
180240,Color [A=255, R=0, G=0, B=0]
182120,Color [A=255, R=255, G=255, B=255]
182160,Color [A=255, R=0, G=0, B=0]
189720,Color [A=255, R=255, G=255, B=255]
189760,Color [A=255, R=0, G=0, B=0]
190360,Color [A=255, R=255, G=255, B=255]
190400,Color [A=255, R=0, G=0, B=0]
190760,Color [A=255, R=255, G=255, B=255]
190800,Color [A=255, R=0, G=0, B=0]
193160,Color [A=255, R=255, G=255, B=255]
193200,Color [A=255, R=0, G=0, B=0]
195280,Color [A=255, R=255, G=255, B=255]
195360,Color [A=255, R=0, G=0, B=0]
195760,Color [A=255, R=255, G=255, B=255]
195800,Color [A=255, R=0, G=0, B=0]
196240,Color [A=255, R=255, G=255, B=255]
196280,Color [A=255, R=0, G=0, B=0]
202160,Color [A=255, R=255, G=255, B=255]
202200,Color [A=255, R=0, G=0, B=0]
203360,Color [A=255, R=255, G=255, B=255]
203400,Color [A=255, R=0, G=0, B=0]
204040,Color [A=255, R=255, G=255, B=255]
204080,Color [A=255, R=0, G=0, B=0]
204800,Color [A=255, R=255, G=255, B=255]
204840,Color [A=255, R=0, G=0, B=0]
209960,Color [A=255, R=255, G=255, B=255]
210000,Color [A=255, R=0, G=0, B=0]
213000,Color [A=255, R=255, G=255, B=255]
213040,Color [A=255, R=0, G=0, B=0]
215600,Color [A=255, R=255, G=255, B=255]
215640,Color [A=255, R=0, G=0, B=0]
215680,Color [A=255, R=255, G=255, B=255]
215720,Color [A=255, R=0, G=0, B=0]
219840,Color [A=255, R=255, G=255, B=255]
219880,Color [A=255, R=0, G=0, B=0]
220080,Color [A=255, R=255, G=255, B=255]
220120,Color [A=255, R=0, G=0, B=0]
220720,Color [A=255, R=255, G=255, B=255]
220760,Color [A=255, R=0, G=0, B=0]
221520,Color [A=255, R=255, G=255, B=255]
221560,Color [A=255, R=0, G=0, B=0]
224840,Color [A=255, R=255, G=255, B=255]
224880,Color [A=255, R=0, G=0, B=0]
229080,Color [A=255, R=255, G=255, B=255]
229120,Color [A=255, R=0, G=0, B=0]
231120,Color [A=255, R=255, G=255, B=255]
231160,Color [A=255, R=0, G=0, B=0]
234480,Color [A=255, R=255, G=255, B=255]
234520,Color [A=255, R=0, G=0, B=0]
235400,Color [A=255, R=255, G=255, B=255]
235440,Color [A=255, R=0, G=0, B=0]
235920,Color [A=255, R=255, G=255, B=255]
235960,Color [A=255, R=0, G=0, B=0]
237920,Color [A=255, R=255, G=255, B=255]
237960,Color [A=255, R=0, G=0, B=0]
239520,Color [A=255, R=255, G=255, B=255]
239560,Color [A=255, R=0, G=0, B=0]
239920,Color [A=255, R=255, G=255, B=255]
239960,Color [A=255, R=0, G=0, B=0]
241480,Color [A=255, R=255, G=255, B=255]
241520,Color [A=255, R=0, G=0, B=0]
249000,Color [A=255, R=255, G=255, B=255]
249040,Color [A=255, R=0, G=0, B=0]
251600,Color [A=255, R=255, G=255, B=255]
251640,Color [A=255, R=0, G=0, B=0]
251840,Color [A=255, R=255, G=255, B=255]
251880,Color [A=255, R=0, G=0, B=0]
252720,Color [A=255, R=255, G=255, B=255]
252760,Color [A=255, R=0, G=0, B=0]
255600,Color [A=255, R=255, G=255, B=255]
255640,Color [A=255, R=0, G=0, B=0]
259160,Color [A=255, R=255, G=255, B=255]
259200,Color [A=255, R=0, G=0, B=0]
261360,Color [A=255, R=255, G=255, B=255]
261400,Color [A=255, R=0, G=0, B=0]
262080,Color [A=255, R=255, G=255, B=255]
262120,Color [A=255, R=0, G=0, B=0]
263880,Color [A=255, R=255, G=255, B=255]
263920,Color [A=255, R=0, G=0, B=0]
264040,Color [A=255, R=255, G=255, B=255]
264080,Color [A=255, R=0, G=0, B=0]
265000,Color [A=255, R=255, G=255, B=255]
265040,Color [A=255, R=0, G=0, B=0]
269560,Color [A=255, R=255, G=255, B=255]
269600,Color [A=255, R=0, G=0, B=0]
275080,Color [A=255, R=255, G=255, B=255]
275120,Color [A=255, R=0, G=0, B=0]
280600,Color [A=255, R=255, G=255, B=255]
280640,Color [A=255, R=0, G=0, B=0]
284560,Color [A=255, R=255, G=255, B=255]
284600,Color [A=255, R=0, G=0, B=0]
285640,Color [A=255, R=255, G=255, B=255]
285680,Color [A=255, R=0, G=0, B=0]
288000,Color [A=255, R=255, G=255, B=255]
288040,Color [A=255, R=0, G=0, B=0]
291320,Color [A=255, R=255, G=255, B=255]
291360,Color [A=255, R=0, G=0, B=0]
291960,Color [A=255, R=255, G=255, B=255]
292000,Color [A=255, R=0, G=0, B=0]
292560,Color [A=255, R=255, G=255, B=255]
292600,Color [A=255, R=0, G=0, B=0]
293360,Color [A=255, R=255, G=255, B=255]
293400,Color [A=255, R=0, G=0, B=0]
294800,Color [A=255, R=255, G=255, B=255]
294840,Color [A=255, R=0, G=0, B=0]
299200,Color [A=255, R=255, G=255, B=255]
299240,Color [A=255, R=0, G=0, B=0]
304720,Color [A=255, R=255, G=255, B=255]
304760,Color [A=255, R=0, G=0, B=0]
307240,Color [A=255, R=255, G=255, B=255]
307280,Color [A=255, R=0, G=0, B=0]
307760,Color [A=255, R=255, G=255, B=255]
307800,Color [A=255, R=0, G=0, B=0]
314320,Color [A=255, R=255, G=255, B=255]
314360,Color [A=255, R=0, G=0, B=0]
326440,Color [A=255, R=255, G=255, B=255]
326480,Color [A=255, R=0, G=0, B=0]
328880,Color [A=255, R=255, G=255, B=255]
328920,Color [A=255, R=0, G=0, B=0]
338920,Color [A=255, R=255, G=255, B=255]
338960,Color [A=255, R=0, G=0, B=0]
341000,Color [A=255, R=255, G=255, B=255]
341040,Color [A=255, R=0, G=0, B=0]
343760,Color [A=255, R=255, G=255, B=255]
343800,Color [A=255, R=0, G=0, B=0]
349080,Color [A=255, R=255, G=255, B=255]
349120,Color [A=255, R=0, G=0, B=0]
350480,Color [A=255, R=255, G=255, B=255]
350520,Color [A=255, R=0, G=0, B=0]
352560,Color [A=255, R=255, G=255, B=255]
352600,Color [A=255, R=0, G=0, B=0]
363840,Color [A=255, R=255, G=255, B=255]
363880,Color [A=255, R=0, G=0, B=0]
373560,Color [A=255, R=255, G=255, B=255]
373600,Color [A=255, R=0, G=0, B=0]
379480,Color [A=255, R=255, G=255, B=255]
379520,Color [A=255, R=0, G=0, B=0]
385360,Color [A=255, R=255, G=255, B=255]
385400,Color [A=255, R=0, G=0, B=0]
392520,Color [A=255, R=255, G=255, B=255]
392560,Color [A=255, R=0, G=0, B=0]
396600,Color [A=255, R=255, G=255, B=255]
396640,Color [A=255, R=0, G=0, B=0]
396880,Color [A=255, R=255, G=255, B=255]
396920,Color [A=255, R=0, G=0, B=0]
397320,Color [A=255, R=255, G=255, B=255]
