40,Color [A=255, R=255, G=206, B=31]
65560,Color [A=255, R=255, G=255, B=255]
119600,Color [A=255, R=255, G=255, B=255]
119640,Color [A=255, R=0, G=0, B=0]
133720,Color [A=255, R=255, G=255, B=255]
133760,Color [A=255, R=0, G=0, B=0]
177360,Color [A=255, R=255, G=255, B=255]
177400,Color [A=255, R=0, G=0, B=0]
242920,Color [A=255, R=255, G=255, B=255]
262080,Color [A=255, R=255, G=255, B=255]
262120,Color [A=255, R=0, G=0, B=0]
270120,Color [A=255, R=255, G=255, B=255]
270160,Color [A=255, R=0, G=0, B=0]
270200,Color [A=255, R=255, G=255, B=255]
270240,Color [A=255, R=0, G=0, B=0]
335760,Color [A=255, R=255, G=255, B=255]
401280,Color [A=255, R=255, G=255, B=255]
443600,Color [A=255, R=255, G=255, B=255]
443640,Color [A=255, R=0, G=0, B=0]
509160,Color [A=255, R=255, G=255, B=255]
574680,Color [A=255, R=255, G=255, B=255]
640200,Color [A=255, R=255, G=255, B=255]
705720,Color [A=255, R=255, G=255, B=255]
727440,Color [A=255, R=255, G=255, B=255]
727480,Color [A=255, R=0, G=0, B=0]
728480,Color [A=255, R=255, G=255, B=255]
728520,Color [A=255, R=0, G=0, B=0]
731880,Color [A=255, R=255, G=255, B=255]
731920,Color [A=255, R=0, G=0, B=0]
797440,Color [A=255, R=255, G=255, B=255]
843280,Color [A=255, R=255, G=255, B=255]
843320,Color [A=255, R=0, G=0, B=0]
852480,Color [A=255, R=255, G=255, B=255]
852520,Color [A=255, R=0, G=0, B=0]
855720,Color [A=255, R=255, G=255, B=255]
855760,Color [A=255, R=0, G=0, B=0]
882880,Color [A=255, R=255, G=255, B=255]
882920,Color [A=255, R=0, G=0, B=0]
895440,Color [A=255, R=255, G=255, B=255]
895480,Color [A=255, R=0, G=0, B=0]
961000,Color [A=255, R=255, G=255, B=255]
993280,Color [A=255, R=255, G=255, B=255]
993320,Color [A=255, R=0, G=0, B=0]
1058840,Color [A=255, R=255, G=255, B=255]
1124360,Color [A=255, R=255, G=255, B=255]
1189880,Color [A=255, R=255, G=255, B=255]
1237080,Color [A=255, R=255, G=255, B=255]
1237120,Color [A=255, R=0, G=0, B=0]
1274400,Color [A=255, R=255, G=255, B=255]
1274440,Color [A=255, R=0, G=0, B=0]
1281640,Color [A=255, R=255, G=255, B=255]
1281680,Color [A=255, R=0, G=0, B=0]
1342680,Color [A=255, R=255, G=255, B=255]
1342720,Color [A=255, R=0, G=0, B=0]
1346240,Color [A=255, R=255, G=255, B=255]
1346280,Color [A=255, R=0, G=0, B=0]
1401040,Color [A=255, R=255, G=255, B=255]
1401080,Color [A=255, R=0, G=0, B=0]
1424440,Color [A=255, R=255, G=255, B=255]
1424560,Color [A=255, R=0, G=0, B=0]
1490080,Color [A=255, R=255, G=255, B=255]
1555600,Color [A=255, R=255, G=255, B=255]
1577440,Color [A=255, R=255, G=255, B=255]
1577480,Color [A=255, R=0, G=0, B=0]
1643000,Color [A=255, R=255, G=255, B=255]
1651840,Color [A=255, R=255, G=255, B=255]
1651880,Color [A=255, R=0, G=0, B=0]
1660000,Color [A=255, R=255, G=255, B=255]
1660040,Color [A=255, R=0, G=0, B=0]
1725560,Color [A=255, R=255, G=255, B=255]
1745880,Color [A=255, R=255, G=255, B=255]
1745920,Color [A=255, R=0, G=0, B=0]
1811440,Color [A=255, R=255, G=255, B=255]
1855560,Color [A=255, R=255, G=255, B=255]
1855600,Color [A=255, R=0, G=0, B=0]
1921120,Color [A=255, R=255, G=255, B=255]
1968480,Color [A=255, R=255, G=255, B=255]
