40,Color [A=255, R=255, G=206, B=31]
120,Color [A=255, R=255, G=255, B=255]
160,Color [A=255, R=0, G=0, B=0]
520,Color [A=255, R=255, G=255, B=255]
560,Color [A=255, R=0, G=0, B=0]
680,Color [A=255, R=255, G=255, B=255]
720,Color [A=255, R=0, G=0, B=0]
760,Color [A=255, R=255, G=255, B=255]
800,Color [A=255, R=0, G=0, B=0]
920,Color [A=255, R=255, G=255, B=255]
960,Color [A=255, R=0, G=0, B=0]
1440,Color [A=255, R=255, G=255, B=255]
1480,Color [A=255, R=0, G=0, B=0]
1960,Color [A=255, R=255, G=255, B=255]
2000,Color [A=255, R=0, G=0, B=0]
3040,Color [A=255, R=255, G=255, B=255]
3080,Color [A=255, R=0, G=0, B=0]
3280,Color [A=255, R=255, G=255, B=255]
3320,Color [A=255, R=0, G=0, B=0]
4040,Color [A=255, R=255, G=255, B=255]
4080,Color [A=255, R=0, G=0, B=0]
4760,Color [A=255, R=255, G=255, B=255]
4800,Color [A=255, R=0, G=0, B=0]
4880,Color [A=255, R=255, G=255, B=255]
4920,Color [A=255, R=0, G=0, B=0]
5440,Color [A=255, R=255, G=255, B=255]
5480,Color [A=255, R=0, G=0, B=0]
5680,Color [A=255, R=255, G=255, B=255]
5720,Color [A=255, R=0, G=0, B=0]
5840,Color [A=255, R=255, G=255, B=255]
5880,Color [A=255, R=0, G=0, B=0]
6360,Color [A=255, R=255, G=255, B=255]
6400,Color [A=255, R=0, G=0, B=0]
7400,Color [A=255, R=255, G=255, B=255]
7440,Color [A=255, R=0, G=0, B=0]
7560,Color [A=255, R=255, G=255, B=255]
7600,Color [A=255, R=0, G=0, B=0]
7720,Color [A=255, R=255, G=255, B=255]
7760,Color [A=255, R=0, G=0, B=0]
7880,Color [A=255, R=255, G=255, B=255]
7920,Color [A=255, R=0, G=0, B=0]
7960,Color [A=255, R=255, G=255, B=255]
8000,Color [A=255, R=0, G=0, B=0]
8120,Color [A=255, R=255, G=255, B=255]
8160,Color [A=255, R=0, G=0, B=0]
8400,Color [A=255, R=255, G=255, B=255]
8440,Color [A=255, R=0, G=0, B=0]
8520,Color [A=255, R=255, G=255, B=255]
8560,Color [A=255, R=0, G=0, B=0]
8760,Color [A=255, R=255, G=255, B=255]
8800,Color [A=255, R=0, G=0, B=0]
8920,Color [A=255, R=255, G=255, B=255]
8960,Color [A=255, R=0, G=0, B=0]
9040,Color [A=255, R=255, G=255, B=255]
9080,Color [A=255, R=0, G=0, B=0]
9160,Color [A=255, R=255, G=255, B=255]
9200,Color [A=255, R=0, G=0, B=0]
9480,Color [A=255, R=255, G=255, B=255]
9520,Color [A=255, R=0, G=0, B=0]
9640,Color [A=255, R=255, G=255, B=255]
9680,Color [A=255, R=0, G=0, B=0]
10160,Color [A=255, R=255, G=255, B=255]
10200,Color [A=255, R=0, G=0, B=0]
10760,Color [A=255, R=255, G=255, B=255]
10800,Color [A=255, R=0, G=0, B=0]
11520,Color [A=255, R=255, G=255, B=255]
11560,Color [A=255, R=0, G=0, B=0]
12160,Color [A=255, R=255, G=255, B=255]
12200,Color [A=255, R=0, G=0, B=0]
12360,Color [A=255, R=255, G=255, B=255]
12400,Color [A=255, R=0, G=0, B=0]
12520,Color [A=255, R=255, G=255, B=255]
12560,Color [A=255, R=0, G=0, B=0]
14000,Color [A=255, R=255, G=255, B=255]
14040,Color [A=255, R=0, G=0, B=0]
14160,Color [A=255, R=255, G=255, B=255]
14200,Color [A=255, R=0, G=0, B=0]
14360,Color [A=255, R=255, G=255, B=255]
14400,Color [A=255, R=0, G=0, B=0]
