40,Color [A=255, R=255, G=206, B=31]
80,Color [A=255, R=255, G=255, B=255]
120,Color [A=255, R=0, G=0, B=0]
280,Color [A=255, R=255, G=255, B=255]
320,Color [A=255, R=0, G=0, B=0]
360,Color [A=255, R=255, G=255, B=255]
400,Color [A=255, R=0, G=0, B=0]
840,Color [A=255, R=255, G=255, B=255]
880,Color [A=255, R=0, G=0, B=0]
960,Color [A=255, R=255, G=255, B=255]
1000,Color [A=255, R=0, G=0, B=0]
1040,Color [A=255, R=255, G=255, B=255]
1280,Color [A=255, R=0, G=0, B=0]
1320,Color [A=255, R=255, G=255, B=255]
1400,Color [A=255, R=0, G=0, B=0]
1440,Color [A=255, R=255, G=255, B=255]
1600,Color [A=255, R=0, G=0, B=0]
1640,Color [A=255, R=255, G=255, B=255]
1800,Color [A=255, R=0, G=0, B=0]
1840,Color [A=255, R=255, G=255, B=255]
1960,Color [A=255, R=0, G=0, B=0]
2000,Color [A=255, R=255, G=255, B=255]
2120,Color [A=255, R=0, G=0, B=0]
2160,Color [A=255, R=255, G=255, B=255]
2320,Color [A=255, R=0, G=0, B=0]
2360,Color [A=255, R=255, G=255, B=255]
2560,Color [A=255, R=0, G=0, B=0]
2600,Color [A=255, R=255, G=255, B=255]
2720,Color [A=255, R=0, G=0, B=0]
2760,Color [A=255, R=255, G=255, B=255]
2960,Color [A=255, R=0, G=0, B=0]
3080,Color [A=255, R=255, G=255, B=255]
3160,Color [A=255, R=0, G=0, B=0]
3240,Color [A=255, R=255, G=255, B=255]
3280,Color [A=255, R=0, G=0, B=0]
3360,Color [A=255, R=255, G=255, B=255]
3400,Color [A=255, R=0, G=0, B=0]
3440,Color [A=255, R=255, G=255, B=255]
3560,Color [A=255, R=0, G=0, B=0]
3600,Color [A=255, R=255, G=255, B=255]
3720,Color [A=255, R=0, G=0, B=0]
3760,Color [A=255, R=255, G=255, B=255]
3840,Color [A=255, R=0, G=0, B=0]
3920,Color [A=255, R=255, G=255, B=255]
4040,Color [A=255, R=0, G=0, B=0]
4080,Color [A=255, R=255, G=255, B=255]
4160,Color [A=255, R=0, G=0, B=0]
4200,Color [A=255, R=255, G=255, B=255]
4240,Color [A=255, R=0, G=0, B=0]
4280,Color [A=255, R=255, G=255, B=255]
4640,Color [A=255, R=0, G=0, B=0]
4680,Color [A=255, R=255, G=255, B=255]
4760,Color [A=255, R=0, G=0, B=0]
4800,Color [A=255, R=255, G=255, B=255]
4840,Color [A=255, R=0, G=0, B=0]
4880,Color [A=255, R=255, G=255, B=255]
5120,Color [A=255, R=0, G=0, B=0]
5200,Color [A=255, R=255, G=255, B=255]
5240,Color [A=255, R=0, G=0, B=0]
5360,Color [A=255, R=255, G=255, B=255]
5480,Color [A=255, R=0, G=0, B=0]
5640,Color [A=255, R=255, G=255, B=255]
5680,Color [A=255, R=0, G=0, B=0]
5760,Color [A=255, R=255, G=255, B=255]
5800,Color [A=255, R=0, G=0, B=0]
5960,Color [A=255, R=255, G=255, B=255]
6160,Color [A=255, R=0, G=0, B=0]
6200,Color [A=255, R=255, G=255, B=255]
6280,Color [A=255, R=0, G=0, B=0]
6320,Color [A=255, R=255, G=255, B=255]
6440,Color [A=255, R=0, G=0, B=0]
6520,Color [A=255, R=255, G=255, B=255]
6600,Color [A=255, R=0, G=0, B=0]
6680,Color [A=255, R=255, G=255, B=255]
6840,Color [A=255, R=0, G=0, B=0]
6880,Color [A=255, R=255, G=255, B=255]
7160,Color [A=255, R=0, G=0, B=0]
7200,Color [A=255, R=255, G=255, B=255]
7320,Color [A=255, R=0, G=0, B=0]
7360,Color [A=255, R=255, G=255, B=255]
7400,Color [A=255, R=0, G=0, B=0]
7440,Color [A=255, R=255, G=255, B=255]
7560,Color [A=255, R=0, G=0, B=0]
7600,Color [A=255, R=255, G=255, B=255]
7640,Color [A=255, R=0, G=0, B=0]
7760,Color [A=255, R=255, G=255, B=255]
7840,Color [A=255, R=0, G=0, B=0]
7920,Color [A=255, R=255, G=255, B=255]
8000,Color [A=255, R=0, G=0, B=0]
8080,Color [A=255, R=255, G=255, B=255]
8120,Color [A=255, R=0, G=0, B=0]
8160,Color [A=255, R=255, G=255, B=255]
8320,Color [A=255, R=0, G=0, B=0]
8360,Color [A=255, R=255, G=255, B=255]
8400,Color [A=255, R=0, G=0, B=0]
8640,Color [A=255, R=255, G=255, B=255]
8760,Color [A=255, R=0, G=0, B=0]
8800,Color [A=255, R=255, G=255, B=255]
8880,Color [A=255, R=0, G=0, B=0]
8960,Color [A=255, R=255, G=255, B=255]
9040,Color [A=255, R=0, G=0, B=0]
9120,Color [A=255, R=255, G=255, B=255]
9160,Color [A=255, R=0, G=0, B=0]
9200,Color [A=255, R=255, G=255, B=255]
9360,Color [A=255, R=0, G=0, B=0]
9400,Color [A=255, R=255, G=255, B=255]
9480,Color [A=255, R=0, G=0, B=0]
9520,Color [A=255, R=255, G=255, B=255]
9560,Color [A=255, R=0, G=0, B=0]
9680,Color [A=255, R=255, G=255, B=255]
9800,Color [A=255, R=0, G=0, B=0]
9920,Color [A=255, R=255, G=255, B=255]
9960,Color [A=255, R=0, G=0, B=0]
10000,Color [A=255, R=255, G=255, B=255]
10080,Color [A=255, R=0, G=0, B=0]
10120,Color [A=255, R=255, G=255, B=255]
10160,Color [A=255, R=0, G=0, B=0]
10240,Color [A=255, R=255, G=255, B=255]
10280,Color [A=255, R=0, G=0, B=0]
10320,Color [A=255, R=255, G=255, B=255]
10560,Color [A=255, R=0, G=0, B=0]
10600,Color [A=255, R=255, G=255, B=255]
10680,Color [A=255, R=0, G=0, B=0]
10720,Color [A=255, R=255, G=255, B=255]
11080,Color [A=255, R=0, G=0, B=0]
11120,Color [A=255, R=255, G=255, B=255]
11200,Color [A=255, R=0, G=0, B=0]
11240,Color [A=255, R=255, G=255, B=255]
11320,Color [A=255, R=0, G=0, B=0]
11480,Color [A=255, R=255, G=255, B=255]
11520,Color [A=255, R=0, G=0, B=0]
11560,Color [A=255, R=255, G=255, B=255]
11720,Color [A=255, R=0, G=0, B=0]
11760,Color [A=255, R=255, G=255, B=255]
11960,Color [A=255, R=0, G=0, B=0]
12000,Color [A=255, R=255, G=255, B=255]
12040,Color [A=255, R=0, G=0, B=0]
12080,Color [A=255, R=255, G=255, B=255]
12160,Color [A=255, R=0, G=0, B=0]
12200,Color [A=255, R=255, G=255, B=255]
12240,Color [A=255, R=0, G=0, B=0]
12400,Color [A=255, R=255, G=255, B=255]
12520,Color [A=255, R=0, G=0, B=0]
12560,Color [A=255, R=255, G=255, B=255]
12680,Color [A=255, R=0, G=0, B=0]
12720,Color [A=255, R=255, G=255, B=255]
12880,Color [A=255, R=0, G=0, B=0]
12920,Color [A=255, R=255, G=255, B=255]
13000,Color [A=255, R=0, G=0, B=0]
13040,Color [A=255, R=255, G=255, B=255]
13280,Color [A=255, R=0, G=0, B=0]
13360,Color [A=255, R=255, G=255, B=255]
13480,Color [A=255, R=0, G=0, B=0]
13520,Color [A=255, R=255, G=255, B=255]
13640,Color [A=255, R=0, G=0, B=0]
13720,Color [A=255, R=255, G=255, B=255]
13880,Color [A=255, R=0, G=0, B=0]
13960,Color [A=255, R=255, G=255, B=255]
14000,Color [A=255, R=0, G=0, B=0]
14040,Color [A=255, R=255, G=255, B=255]
14120,Color [A=255, R=0, G=0, B=0]
14200,Color [A=255, R=255, G=255, B=255]
14280,Color [A=255, R=0, G=0, B=0]
14320,Color [A=255, R=255, G=255, B=255]
14360,Color [A=255, R=0, G=0, B=0]
14480,Color [A=255, R=255, G=255, B=255]
14520,Color [A=255, R=0, G=0, B=0]
14560,Color [A=255, R=255, G=255, B=255]
14680,Color [A=255, R=0, G=0, B=0]
14720,Color [A=255, R=255, G=255, B=255]
14800,Color [A=255, R=0, G=0, B=0]
14840,Color [A=255, R=255, G=255, B=255]
14960,Color [A=255, R=0, G=0, B=0]
15040,Color [A=255, R=255, G=255, B=255]
15120,Color [A=255, R=0, G=0, B=0]
15160,Color [A=255, R=255, G=255, B=255]
15280,Color [A=255, R=0, G=0, B=0]
15320,Color [A=255, R=255, G=255, B=255]
15520,Color [A=255, R=0, G=0, B=0]
15600,Color [A=255, R=255, G=255, B=255]
15840,Color [A=255, R=0, G=0, B=0]
15880,Color [A=255, R=255, G=255, B=255]
15960,Color [A=255, R=0, G=0, B=0]
16040,Color [A=255, R=255, G=255, B=255]
16120,Color [A=255, R=0, G=0, B=0]
21880,Color [A=255, R=255, G=255, B=255]
22080,Color [A=255, R=0, G=0, B=0]
22200,Color [A=255, R=255, G=255, B=255]
22240,Color [A=255, R=0, G=0, B=0]
22280,Color [A=255, R=255, G=255, B=255]
22320,Color [A=255, R=0, G=0, B=0]
22400,Color [A=255, R=255, G=255, B=255]
22600,Color [A=255, R=0, G=0, B=0]
22640,Color [A=255, R=255, G=255, B=255]
22760,Color [A=255, R=0, G=0, B=0]
22800,Color [A=255, R=255, G=255, B=255]
22880,Color [A=255, R=0, G=0, B=0]
22920,Color [A=255, R=255, G=255, B=255]
23040,Color [A=255, R=0, G=0, B=0]
23120,Color [A=255, R=255, G=255, B=255]
23200,Color [A=255, R=0, G=0, B=0]
23240,Color [A=255, R=255, G=255, B=255]
23360,Color [A=255, R=0, G=0, B=0]
23400,Color [A=255, R=255, G=255, B=255]
23480,Color [A=255, R=0, G=0, B=0]
23520,Color [A=255, R=255, G=255, B=255]
23640,Color [A=255, R=0, G=0, B=0]
23680,Color [A=255, R=255, G=255, B=255]
23840,Color [A=255, R=0, G=0, B=0]
23880,Color [A=255, R=255, G=255, B=255]
24080,Color [A=255, R=0, G=0, B=0]
24160,Color [A=255, R=255, G=255, B=255]
24280,Color [A=255, R=0, G=0, B=0]
24360,Color [A=255, R=255, G=255, B=255]
24440,Color [A=255, R=0, G=0, B=0]
24520,Color [A=255, R=255, G=255, B=255]
24600,Color [A=255, R=0, G=0, B=0]
24640,Color [A=255, R=255, G=255, B=255]
24800,Color [A=255, R=0, G=0, B=0]
24920,Color [A=255, R=255, G=255, B=255]
25000,Color [A=255, R=0, G=0, B=0]
25040,Color [A=255, R=255, G=255, B=255]
25120,Color [A=255, R=0, G=0, B=0]
25160,Color [A=255, R=255, G=255, B=255]
25280,Color [A=255, R=0, G=0, B=0]
25320,Color [A=255, R=255, G=255, B=255]
25480,Color [A=255, R=0, G=0, B=0]
25600,Color [A=255, R=255, G=255, B=255]
25680,Color [A=255, R=0, G=0, B=0]
25800,Color [A=255, R=255, G=255, B=255]
25960,Color [A=255, R=0, G=0, B=0]
26000,Color [A=255, R=255, G=255, B=255]
26200,Color [A=255, R=0, G=0, B=0]
26240,Color [A=255, R=255, G=255, B=255]
26720,Color [A=255, R=0, G=0, B=0]
26800,Color [A=255, R=255, G=255, B=255]
27080,Color [A=255, R=0, G=0, B=0]
27240,Color [A=255, R=255, G=255, B=255]
27360,Color [A=255, R=0, G=0, B=0]
27400,Color [A=255, R=255, G=255, B=255]
27640,Color [A=255, R=0, G=0, B=0]
27680,Color [A=255, R=255, G=255, B=255]
27800,Color [A=255, R=0, G=0, B=0]
27920,Color [A=255, R=255, G=255, B=255]
28000,Color [A=255, R=0, G=0, B=0]
28040,Color [A=255, R=255, G=255, B=255]
28320,Color [A=255, R=0, G=0, B=0]
28600,Color [A=255, R=255, G=255, B=255]
28640,Color [A=255, R=0, G=0, B=0]
28680,Color [A=255, R=255, G=255, B=255]
28720,Color [A=255, R=0, G=0, B=0]
28760,Color [A=255, R=255, G=255, B=255]
29000,Color [A=255, R=0, G=0, B=0]
29040,Color [A=255, R=255, G=255, B=255]
29120,Color [A=255, R=0, G=0, B=0]
29160,Color [A=255, R=255, G=255, B=255]
29200,Color [A=255, R=0, G=0, B=0]
29240,Color [A=255, R=255, G=255, B=255]
29520,Color [A=255, R=0, G=0, B=0]
29600,Color [A=255, R=255, G=255, B=255]
29720,Color [A=255, R=0, G=0, B=0]
29920,Color [A=255, R=255, G=255, B=255]
29960,Color [A=255, R=0, G=0, B=0]
30000,Color [A=255, R=255, G=255, B=255]
30120,Color [A=255, R=0, G=0, B=0]
30160,Color [A=255, R=255, G=255, B=255]
30240,Color [A=255, R=0, G=0, B=0]
30280,Color [A=255, R=255, G=255, B=255]
30360,Color [A=255, R=0, G=0, B=0]
30400,Color [A=255, R=255, G=255, B=255]
30440,Color [A=255, R=0, G=0, B=0]
30520,Color [A=255, R=255, G=255, B=255]
30840,Color [A=255, R=0, G=0, B=0]
30920,Color [A=255, R=255, G=255, B=255]
31040,Color [A=255, R=0, G=0, B=0]
31120,Color [A=255, R=255, G=255, B=255]
31160,Color [A=255, R=0, G=0, B=0]
31240,Color [A=255, R=255, G=255, B=255]
31280,Color [A=255, R=0, G=0, B=0]
31320,Color [A=255, R=255, G=255, B=255]
31440,Color [A=255, R=0, G=0, B=0]
31480,Color [A=255, R=255, G=255, B=255]
31760,Color [A=255, R=0, G=0, B=0]
31800,Color [A=255, R=255, G=255, B=255]
31880,Color [A=255, R=0, G=0, B=0]
31920,Color [A=255, R=255, G=255, B=255]
31960,Color [A=255, R=0, G=0, B=0]
32000,Color [A=255, R=255, G=255, B=255]
32120,Color [A=255, R=0, G=0, B=0]
32160,Color [A=255, R=255, G=255, B=255]
32200,Color [A=255, R=0, G=0, B=0]
32240,Color [A=255, R=255, G=255, B=255]
32400,Color [A=255, R=0, G=0, B=0]
32440,Color [A=255, R=255, G=255, B=255]
32480,Color [A=255, R=0, G=0, B=0]
32520,Color [A=255, R=255, G=255, B=255]
32720,Color [A=255, R=0, G=0, B=0]
32840,Color [A=255, R=255, G=255, B=255]
32960,Color [A=255, R=0, G=0, B=0]
33000,Color [A=255, R=255, G=255, B=255]
33040,Color [A=255, R=0, G=0, B=0]
33120,Color [A=255, R=255, G=255, B=255]
33280,Color [A=255, R=0, G=0, B=0]
33320,Color [A=255, R=255, G=255, B=255]
33360,Color [A=255, R=0, G=0, B=0]
