40,Color [A=255, R=255, G=206, B=31]
80,Color [A=255, R=255, G=255, B=255]
120,Color [A=255, R=0, G=0, B=0]
160,Color [A=255, R=255, G=255, B=255]
200,Color [A=255, R=0, G=0, B=0]
240,Color [A=255, R=255, G=255, B=255]
440,Color [A=255, R=0, G=0, B=0]
600,Color [A=255, R=255, G=255, B=255]
640,Color [A=255, R=0, G=0, B=0]
680,Color [A=255, R=255, G=255, B=255]
720,Color [A=255, R=0, G=0, B=0]
760,Color [A=255, R=255, G=255, B=255]
800,Color [A=255, R=0, G=0, B=0]
16200,Color [A=255, R=255, G=255, B=255]
16240,Color [A=255, R=0, G=0, B=0]
21760,Color [A=255, R=255, G=255, B=255]
21800,Color [A=255, R=0, G=0, B=0]
21840,Color [A=255, R=255, G=255, B=255]
21920,Color [A=255, R=0, G=0, B=0]
34720,Color [A=255, R=255, G=255, B=255]
34760,Color [A=255, R=0, G=0, B=0]
34800,Color [A=255, R=255, G=255, B=255]
34840,Color [A=255, R=0, G=0, B=0]
38360,Color [A=255, R=255, G=255, B=255]
38400,Color [A=255, R=0, G=0, B=0]
38440,Color [A=255, R=255, G=255, B=255]
38480,Color [A=255, R=0, G=0, B=0]
51440,Color [A=255, R=255, G=255, B=255]
51480,Color [A=255, R=0, G=0, B=0]
51520,Color [A=255, R=255, G=255, B=255]
51560,Color [A=255, R=0, G=0, B=0]
65880,Color [A=255, R=255, G=255, B=255]
65920,Color [A=255, R=0, G=0, B=0]
65960,Color [A=255, R=255, G=255, B=255]
66000,Color [A=255, R=0, G=0, B=0]
80000,Color [A=255, R=255, G=255, B=255]
80040,Color [A=255, R=0, G=0, B=0]
80080,Color [A=255, R=255, G=255, B=255]
80120,Color [A=255, R=0, G=0, B=0]
90000,Color [A=255, R=255, G=255, B=255]
90040,Color [A=255, R=0, G=0, B=0]
101560,Color [A=255, R=255, G=255, B=255]
101600,Color [A=255, R=0, G=0, B=0]
101640,Color [A=255, R=255, G=255, B=255]
101680,Color [A=255, R=0, G=0, B=0]
115800,Color [A=255, R=255, G=255, B=255]
115840,Color [A=255, R=0, G=0, B=0]
115880,Color [A=255, R=255, G=255, B=255]
115920,Color [A=255, R=0, G=0, B=0]
120480,Color [A=255, R=255, G=255, B=255]
120520,Color [A=255, R=0, G=0, B=0]
120560,Color [A=255, R=255, G=255, B=255]
120600,Color [A=255, R=0, G=0, B=0]
126760,Color [A=255, R=255, G=255, B=255]
126800,Color [A=255, R=0, G=0, B=0]
140920,Color [A=255, R=255, G=255, B=255]
140960,Color [A=255, R=0, G=0, B=0]
141000,Color [A=255, R=255, G=255, B=255]
141080,Color [A=255, R=0, G=0, B=0]
159920,Color [A=255, R=255, G=255, B=255]
159960,Color [A=255, R=0, G=0, B=0]
164280,Color [A=255, R=255, G=255, B=255]
164320,Color [A=255, R=0, G=0, B=0]
164360,Color [A=255, R=255, G=255, B=255]
164400,Color [A=255, R=0, G=0, B=0]
171080,Color [A=255, R=255, G=255, B=255]
171120,Color [A=255, R=0, G=0, B=0]
171160,Color [A=255, R=255, G=255, B=255]
171200,Color [A=255, R=0, G=0, B=0]
177240,Color [A=255, R=255, G=255, B=255]
177280,Color [A=255, R=0, G=0, B=0]
177320,Color [A=255, R=255, G=255, B=255]
177360,Color [A=255, R=0, G=0, B=0]
179560,Color [A=255, R=255, G=255, B=255]
179640,Color [A=255, R=0, G=0, B=0]
179720,Color [A=255, R=255, G=255, B=255]
179760,Color [A=255, R=0, G=0, B=0]
179960,Color [A=255, R=255, G=255, B=255]
180000,Color [A=255, R=0, G=0, B=0]
182000,Color [A=255, R=255, G=255, B=255]
182040,Color [A=255, R=0, G=0, B=0]
182080,Color [A=255, R=255, G=255, B=255]
182120,Color [A=255, R=0, G=0, B=0]
184200,Color [A=255, R=255, G=255, B=255]
184240,Color [A=255, R=0, G=0, B=0]
195640,Color [A=255, R=255, G=255, B=255]
195680,Color [A=255, R=0, G=0, B=0]
195720,Color [A=255, R=255, G=255, B=255]
195760,Color [A=255, R=0, G=0, B=0]
201480,Color [A=255, R=255, G=255, B=255]
201520,Color [A=255, R=0, G=0, B=0]
201800,Color [A=255, R=255, G=255, B=255]
201840,Color [A=255, R=0, G=0, B=0]
203920,Color [A=255, R=255, G=255, B=255]
203960,Color [A=255, R=0, G=0, B=0]
204000,Color [A=255, R=255, G=255, B=255]
204040,Color [A=255, R=0, G=0, B=0]
207640,Color [A=255, R=255, G=255, B=255]
207680,Color [A=255, R=0, G=0, B=0]
211160,Color [A=255, R=255, G=255, B=255]
211200,Color [A=255, R=0, G=0, B=0]
218800,Color [A=255, R=255, G=255, B=255]
218840,Color [A=255, R=0, G=0, B=0]
219600,Color [A=255, R=255, G=255, B=255]
219640,Color [A=255, R=0, G=0, B=0]
219960,Color [A=255, R=255, G=255, B=255]
220000,Color [A=255, R=0, G=0, B=0]
220040,Color [A=255, R=255, G=255, B=255]
220080,Color [A=255, R=0, G=0, B=0]
224680,Color [A=255, R=255, G=255, B=255]
224720,Color [A=255, R=0, G=0, B=0]
224760,Color [A=255, R=255, G=255, B=255]
224800,Color [A=255, R=0, G=0, B=0]
226560,Color [A=255, R=255, G=255, B=255]
226600,Color [A=255, R=0, G=0, B=0]
227280,Color [A=255, R=255, G=255, B=255]
227320,Color [A=255, R=0, G=0, B=0]
228920,Color [A=255, R=255, G=255, B=255]
228960,Color [A=255, R=0, G=0, B=0]
229000,Color [A=255, R=255, G=255, B=255]
229040,Color [A=255, R=0, G=0, B=0]
237760,Color [A=255, R=255, G=255, B=255]
237800,Color [A=255, R=0, G=0, B=0]
237840,Color [A=255, R=255, G=255, B=255]
237880,Color [A=255, R=0, G=0, B=0]
247560,Color [A=255, R=255, G=255, B=255]
247600,Color [A=255, R=0, G=0, B=0]
251720,Color [A=255, R=255, G=255, B=255]
251760,Color [A=255, R=0, G=0, B=0]
251800,Color [A=255, R=255, G=255, B=255]
251840,Color [A=255, R=0, G=0, B=0]
255600,Color [A=255, R=255, G=255, B=255]
255640,Color [A=255, R=0, G=0, B=0]
261960,Color [A=255, R=255, G=255, B=255]
262000,Color [A=255, R=0, G=0, B=0]
262040,Color [A=255, R=255, G=255, B=255]
262080,Color [A=255, R=0, G=0, B=0]
263760,Color [A=255, R=255, G=255, B=255]
263800,Color [A=255, R=0, G=0, B=0]
263840,Color [A=255, R=255, G=255, B=255]
263880,Color [A=255, R=0, G=0, B=0]
280480,Color [A=255, R=255, G=255, B=255]
280520,Color [A=255, R=0, G=0, B=0]
280560,Color [A=255, R=255, G=255, B=255]
280600,Color [A=255, R=0, G=0, B=0]
297600,Color [A=255, R=255, G=255, B=255]
297640,Color [A=255, R=0, G=0, B=0]
297680,Color [A=255, R=255, G=255, B=255]
297720,Color [A=255, R=0, G=0, B=0]
299080,Color [A=255, R=255, G=255, B=255]
299120,Color [A=255, R=0, G=0, B=0]
299160,Color [A=255, R=255, G=255, B=255]
299200,Color [A=255, R=0, G=0, B=0]
314200,Color [A=255, R=255, G=255, B=255]
314240,Color [A=255, R=0, G=0, B=0]
314280,Color [A=255, R=255, G=255, B=255]
314320,Color [A=255, R=0, G=0, B=0]
317920,Color [A=255, R=255, G=255, B=255]
317960,Color [A=255, R=0, G=0, B=0]
328760,Color [A=255, R=255, G=255, B=255]
328800,Color [A=255, R=0, G=0, B=0]
328840,Color [A=255, R=255, G=255, B=255]
328880,Color [A=255, R=0, G=0, B=0]
336080,Color [A=255, R=255, G=255, B=255]
336120,Color [A=255, R=0, G=0, B=0]
336160,Color [A=255, R=255, G=255, B=255]
336200,Color [A=255, R=0, G=0, B=0]
340880,Color [A=255, R=255, G=255, B=255]
340920,Color [A=255, R=0, G=0, B=0]
340960,Color [A=255, R=255, G=255, B=255]
341000,Color [A=255, R=0, G=0, B=0]
356080,Color [A=255, R=255, G=255, B=255]
356120,Color [A=255, R=0, G=0, B=0]
356160,Color [A=255, R=255, G=255, B=255]
356200,Color [A=255, R=0, G=0, B=0]
363720,Color [A=255, R=255, G=255, B=255]
363760,Color [A=255, R=0, G=0, B=0]
363800,Color [A=255, R=255, G=255, B=255]
363840,Color [A=255, R=0, G=0, B=0]
390640,Color [A=255, R=255, G=255, B=255]
390680,Color [A=255, R=0, G=0, B=0]
390760,Color [A=255, R=255, G=255, B=255]
390800,Color [A=255, R=0, G=0, B=0]
396480,Color [A=255, R=255, G=255, B=255]
396520,Color [A=255, R=0, G=0, B=0]
396560,Color [A=255, R=255, G=255, B=255]
396600,Color [A=255, R=0, G=0, B=0]
400120,Color [A=255, R=255, G=255, B=255]
400160,Color [A=255, R=0, G=0, B=0]
401320,Color [A=255, R=255, G=255, B=255]
401360,Color [A=255, R=0, G=0, B=0]
401880,Color [A=255, R=255, G=255, B=255]
401920,Color [A=255, R=0, G=0, B=0]
401960,Color [A=255, R=255, G=255, B=255]
402000,Color [A=255, R=0, G=0, B=0]
403320,Color [A=255, R=255, G=255, B=255]
403360,Color [A=255, R=0, G=0, B=0]
403400,Color [A=255, R=255, G=255, B=255]
403440,Color [A=255, R=0, G=0, B=0]
403480,Color [A=255, R=255, G=255, B=255]
403560,Color [A=255, R=0, G=0, B=0]
403680,Color [A=255, R=255, G=255, B=255]
403720,Color [A=255, R=0, G=0, B=0]
403760,Color [A=255, R=255, G=255, B=255]
403800,Color [A=255, R=0, G=0, B=0]
403880,Color [A=255, R=255, G=255, B=255]
403920,Color [A=255, R=0, G=0, B=0]
403960,Color [A=255, R=255, G=255, B=255]
404000,Color [A=255, R=0, G=0, B=0]
404080,Color [A=255, R=255, G=255, B=255]
404120,Color [A=255, R=0, G=0, B=0]
404160,Color [A=255, R=255, G=255, B=255]
404240,Color [A=255, R=0, G=0, B=0]
404320,Color [A=255, R=255, G=255, B=255]
404400,Color [A=255, R=0, G=0, B=0]
404440,Color [A=255, R=255, G=255, B=255]
404600,Color [A=255, R=0, G=0, B=0]
404640,Color [A=255, R=255, G=255, B=255]
404680,Color [A=255, R=0, G=0, B=0]
404720,Color [A=255, R=255, G=255, B=255]
404760,Color [A=255, R=0, G=0, B=0]
404840,Color [A=255, R=255, G=255, B=255]
404920,Color [A=255, R=0, G=0, B=0]
405000,Color [A=255, R=255, G=255, B=255]
405040,Color [A=255, R=0, G=0, B=0]
405080,Color [A=255, R=255, G=255, B=255]
405160,Color [A=255, R=0, G=0, B=0]
405200,Color [A=255, R=255, G=255, B=255]
405400,Color [A=255, R=0, G=0, B=0]
405480,Color [A=255, R=255, G=255, B=255]
405520,Color [A=255, R=0, G=0, B=0]
405560,Color [A=255, R=255, G=255, B=255]
405600,Color [A=255, R=0, G=0, B=0]
405680,Color [A=255, R=255, G=255, B=255]
405720,Color [A=255, R=0, G=0, B=0]
405760,Color [A=255, R=255, G=255, B=255]
405800,Color [A=255, R=0, G=0, B=0]
405840,Color [A=255, R=255, G=255, B=255]
406000,Color [A=255, R=0, G=0, B=0]
406040,Color [A=255, R=255, G=255, B=255]
406120,Color [A=255, R=0, G=0, B=0]
406160,Color [A=255, R=255, G=255, B=255]
406280,Color [A=255, R=0, G=0, B=0]
406320,Color [A=255, R=255, G=255, B=255]
406440,Color [A=255, R=0, G=0, B=0]
406480,Color [A=255, R=255, G=255, B=255]
406560,Color [A=255, R=0, G=0, B=0]
406600,Color [A=255, R=255, G=255, B=255]
406640,Color [A=255, R=0, G=0, B=0]
406680,Color [A=255, R=255, G=255, B=255]
406720,Color [A=255, R=0, G=0, B=0]
406800,Color [A=255, R=255, G=255, B=255]
406920,Color [A=255, R=0, G=0, B=0]
406960,Color [A=255, R=255, G=255, B=255]
407120,Color [A=255, R=0, G=0, B=0]
407160,Color [A=255, R=255, G=255, B=255]
407280,Color [A=255, R=0, G=0, B=0]
407320,Color [A=255, R=255, G=255, B=255]
407360,Color [A=255, R=0, G=0, B=0]
407400,Color [A=255, R=255, G=255, B=255]
407560,Color [A=255, R=0, G=0, B=0]
407600,Color [A=255, R=255, G=255, B=255]
407680,Color [A=255, R=0, G=0, B=0]
407720,Color [A=255, R=255, G=255, B=255]
407760,Color [A=255, R=0, G=0, B=0]
407840,Color [A=255, R=255, G=255, B=255]
408040,Color [A=255, R=0, G=0, B=0]
408080,Color [A=255, R=255, G=255, B=255]
408120,Color [A=255, R=0, G=0, B=0]
408240,Color [A=255, R=255, G=255, B=255]
408280,Color [A=255, R=0, G=0, B=0]
408320,Color [A=255, R=255, G=255, B=255]
408360,Color [A=255, R=0, G=0, B=0]
408520,Color [A=255, R=255, G=255, B=255]
408600,Color [A=255, R=0, G=0, B=0]
408640,Color [A=255, R=255, G=255, B=255]
408720,Color [A=255, R=0, G=0, B=0]
408760,Color [A=255, R=255, G=255, B=255]
408800,Color [A=255, R=0, G=0, B=0]
408840,Color [A=255, R=255, G=255, B=255]
408920,Color [A=255, R=0, G=0, B=0]
408960,Color [A=255, R=255, G=255, B=255]
409080,Color [A=255, R=0, G=0, B=0]
409160,Color [A=255, R=255, G=255, B=255]
409240,Color [A=255, R=0, G=0, B=0]
409280,Color [A=255, R=255, G=255, B=255]
409440,Color [A=255, R=0, G=0, B=0]
409480,Color [A=255, R=255, G=255, B=255]
409520,Color [A=255, R=0, G=0, B=0]
409560,Color [A=255, R=255, G=255, B=255]
409600,Color [A=255, R=0, G=0, B=0]
409680,Color [A=255, R=255, G=255, B=255]
409720,Color [A=255, R=0, G=0, B=0]
409760,Color [A=255, R=255, G=255, B=255]
409800,Color [A=255, R=0, G=0, B=0]
409840,Color [A=255, R=255, G=255, B=255]
409880,Color [A=255, R=0, G=0, B=0]
409920,Color [A=255, R=255, G=255, B=255]
410000,Color [A=255, R=0, G=0, B=0]
410040,Color [A=255, R=255, G=255, B=255]
410080,Color [A=255, R=0, G=0, B=0]
410160,Color [A=255, R=255, G=255, B=255]
410360,Color [A=255, R=0, G=0, B=0]
410400,Color [A=255, R=255, G=255, B=255]
410440,Color [A=255, R=0, G=0, B=0]
