40,Color [A=255, R=255, G=206, B=31]
120,Color [A=255, R=0, G=0, B=0]
160,Color [A=255, R=255, G=255, B=255]
440,Color [A=255, R=0, G=0, B=0]
560,Color [A=255, R=255, G=255, B=255]
680,Color [A=255, R=0, G=0, B=0]
720,Color [A=255, R=255, G=255, B=255]
760,Color [A=255, R=0, G=0, B=0]
800,Color [A=255, R=255, G=255, B=255]
880,Color [A=255, R=0, G=0, B=0]
960,Color [A=255, R=255, G=255, B=255]
1000,Color [A=255, R=0, G=0, B=0]
1080,Color [A=255, R=255, G=255, B=255]
1160,Color [A=255, R=0, G=0, B=0]
1200,Color [A=255, R=255, G=255, B=255]
1280,Color [A=255, R=0, G=0, B=0]
1320,Color [A=255, R=255, G=255, B=255]
1360,Color [A=255, R=0, G=0, B=0]
1440,Color [A=255, R=255, G=255, B=255]
1480,Color [A=255, R=0, G=0, B=0]
1560,Color [A=255, R=255, G=255, B=255]
1600,Color [A=255, R=0, G=0, B=0]
1640,Color [A=255, R=255, G=255, B=255]
1720,Color [A=255, R=0, G=0, B=0]
1760,Color [A=255, R=255, G=255, B=255]
1800,Color [A=255, R=0, G=0, B=0]
1880,Color [A=255, R=255, G=255, B=255]
1920,Color [A=255, R=0, G=0, B=0]
2160,Color [A=255, R=255, G=255, B=255]
2320,Color [A=255, R=0, G=0, B=0]
2360,Color [A=255, R=255, G=255, B=255]
2440,Color [A=255, R=0, G=0, B=0]
2480,Color [A=255, R=255, G=255, B=255]
2560,Color [A=255, R=0, G=0, B=0]
2600,Color [A=255, R=255, G=255, B=255]
2640,Color [A=255, R=0, G=0, B=0]
2680,Color [A=255, R=255, G=255, B=255]
2720,Color [A=255, R=0, G=0, B=0]
2760,Color [A=255, R=255, G=255, B=255]
2800,Color [A=255, R=0, G=0, B=0]
2880,Color [A=255, R=255, G=255, B=255]
2920,Color [A=255, R=0, G=0, B=0]
2960,Color [A=255, R=255, G=255, B=255]
3000,Color [A=255, R=0, G=0, B=0]
3080,Color [A=255, R=255, G=255, B=255]
3120,Color [A=255, R=0, G=0, B=0]
3200,Color [A=255, R=255, G=255, B=255]
3280,Color [A=255, R=0, G=0, B=0]
3320,Color [A=255, R=255, G=255, B=255]
3360,Color [A=255, R=0, G=0, B=0]
3480,Color [A=255, R=255, G=255, B=255]
3560,Color [A=255, R=0, G=0, B=0]
3600,Color [A=255, R=255, G=255, B=255]
3680,Color [A=255, R=0, G=0, B=0]
3800,Color [A=255, R=255, G=255, B=255]
3920,Color [A=255, R=0, G=0, B=0]
4000,Color [A=255, R=255, G=255, B=255]
4040,Color [A=255, R=0, G=0, B=0]
4080,Color [A=255, R=255, G=255, B=255]
4200,Color [A=255, R=0, G=0, B=0]
4280,Color [A=255, R=255, G=255, B=255]
4320,Color [A=255, R=0, G=0, B=0]
4360,Color [A=255, R=255, G=255, B=255]
