40,Color [A=255, R=255, G=206, B=31]
80,Color [A=255, R=0, G=0, B=0]
320,Color [A=255, R=255, G=255, B=255]
360,Color [A=255, R=0, G=0, B=0]
480,Color [A=255, R=255, G=255, B=255]
520,Color [A=255, R=0, G=0, B=0]
560,Color [A=255, R=255, G=255, B=255]
680,Color [A=255, R=0, G=0, B=0]
720,Color [A=255, R=255, G=255, B=255]
760,Color [A=255, R=0, G=0, B=0]
1040,Color [A=255, R=255, G=255, B=255]
1080,Color [A=255, R=0, G=0, B=0]
1480,Color [A=255, R=255, G=255, B=255]
1560,Color [A=255, R=0, G=0, B=0]
1720,Color [A=255, R=255, G=255, B=255]
1760,Color [A=255, R=0, G=0, B=0]
1840,Color [A=255, R=255, G=255, B=255]
1880,Color [A=255, R=0, G=0, B=0]
2040,Color [A=255, R=255, G=255, B=255]
2120,Color [A=255, R=0, G=0, B=0]
2160,Color [A=255, R=255, G=255, B=255]
2200,Color [A=255, R=0, G=0, B=0]
2440,Color [A=255, R=255, G=255, B=255]
2480,Color [A=255, R=0, G=0, B=0]
2640,Color [A=255, R=255, G=255, B=255]
2720,Color [A=255, R=0, G=0, B=0]
2840,Color [A=255, R=255, G=255, B=255]
2880,Color [A=255, R=0, G=0, B=0]
2920,Color [A=255, R=255, G=255, B=255]
2960,Color [A=255, R=0, G=0, B=0]
3120,Color [A=255, R=255, G=255, B=255]
3160,Color [A=255, R=0, G=0, B=0]
3360,Color [A=255, R=255, G=255, B=255]
3400,Color [A=255, R=0, G=0, B=0]
3680,Color [A=255, R=255, G=255, B=255]
3720,Color [A=255, R=0, G=0, B=0]
3760,Color [A=255, R=255, G=255, B=255]
3800,Color [A=255, R=0, G=0, B=0]
4200,Color [A=255, R=255, G=255, B=255]
4240,Color [A=255, R=0, G=0, B=0]
4320,Color [A=255, R=255, G=255, B=255]
4360,Color [A=255, R=0, G=0, B=0]
4400,Color [A=255, R=255, G=255, B=255]
4440,Color [A=255, R=0, G=0, B=0]
5040,Color [A=255, R=255, G=255, B=255]
5120,Color [A=255, R=0, G=0, B=0]
5760,Color [A=255, R=255, G=255, B=255]
5800,Color [A=255, R=0, G=0, B=0]
6080,Color [A=255, R=255, G=255, B=255]
6160,Color [A=255, R=0, G=0, B=0]
6320,Color [A=255, R=255, G=255, B=255]
6360,Color [A=255, R=0, G=0, B=0]
7280,Color [A=255, R=255, G=255, B=255]
7320,Color [A=255, R=0, G=0, B=0]
7480,Color [A=255, R=255, G=255, B=255]
7560,Color [A=255, R=0, G=0, B=0]
7800,Color [A=255, R=255, G=255, B=255]
7840,Color [A=255, R=0, G=0, B=0]
7920,Color [A=255, R=255, G=255, B=255]
7960,Color [A=255, R=0, G=0, B=0]
8280,Color [A=255, R=255, G=255, B=255]
8320,Color [A=255, R=0, G=0, B=0]
8840,Color [A=255, R=255, G=255, B=255]
8880,Color [A=255, R=0, G=0, B=0]
9000,Color [A=255, R=255, G=255, B=255]
9040,Color [A=255, R=0, G=0, B=0]
9280,Color [A=255, R=255, G=255, B=255]
9320,Color [A=255, R=0, G=0, B=0]
10000,Color [A=255, R=255, G=255, B=255]
10080,Color [A=255, R=0, G=0, B=0]
10240,Color [A=255, R=255, G=255, B=255]
10280,Color [A=255, R=0, G=0, B=0]
10400,Color [A=255, R=255, G=255, B=255]
10440,Color [A=255, R=0, G=0, B=0]
10720,Color [A=255, R=255, G=255, B=255]
10760,Color [A=255, R=0, G=0, B=0]
11240,Color [A=255, R=255, G=255, B=255]
11280,Color [A=255, R=0, G=0, B=0]
11800,Color [A=255, R=255, G=255, B=255]
11840,Color [A=255, R=0, G=0, B=0]
11920,Color [A=255, R=255, G=255, B=255]
11960,Color [A=255, R=0, G=0, B=0]
12000,Color [A=255, R=255, G=255, B=255]
12040,Color [A=255, R=0, G=0, B=0]
12840,Color [A=255, R=255, G=255, B=255]
12880,Color [A=255, R=0, G=0, B=0]
13600,Color [A=255, R=255, G=255, B=255]
13640,Color [A=255, R=0, G=0, B=0]
13760,Color [A=255, R=255, G=255, B=255]
13840,Color [A=255, R=0, G=0, B=0]
14080,Color [A=255, R=255, G=255, B=255]
14120,Color [A=255, R=0, G=0, B=0]
14240,Color [A=255, R=255, G=255, B=255]
14280,Color [A=255, R=0, G=0, B=0]
14920,Color [A=255, R=255, G=255, B=255]
14960,Color [A=255, R=0, G=0, B=0]
15040,Color [A=255, R=255, G=255, B=255]
15080,Color [A=255, R=0, G=0, B=0]
15920,Color [A=255, R=255, G=255, B=255]
15960,Color [A=255, R=0, G=0, B=0]
16080,Color [A=255, R=255, G=255, B=255]
16120,Color [A=255, R=0, G=0, B=0]
16160,Color [A=255, R=255, G=255, B=255]
16200,Color [A=255, R=0, G=0, B=0]
21720,Color [A=255, R=255, G=255, B=255]
