40,Color [A=255, R=255, G=206, B=31]
80,Color [A=255, R=0, G=0, B=0]
560,Color [A=255, R=255, G=255, B=255]
600,Color [A=255, R=0, G=0, B=0]
5160,Color [A=255, R=255, G=255, B=255]
5200,Color [A=255, R=0, G=0, B=0]
34840,Color [A=255, R=255, G=255, B=255]
34880,Color [A=255, R=0, G=0, B=0]
60840,Color [A=255, R=255, G=255, B=255]
60880,Color [A=255, R=0, G=0, B=0]
67720,Color [A=255, R=255, G=255, B=255]
67760,Color [A=255, R=0, G=0, B=0]
68440,Color [A=255, R=255, G=255, B=255]
68480,Color [A=255, R=0, G=0, B=0]
69320,Color [A=255, R=255, G=255, B=255]
69360,Color [A=255, R=0, G=0, B=0]
88600,Color [A=255, R=255, G=255, B=255]
88640,Color [A=255, R=0, G=0, B=0]
126680,Color [A=255, R=255, G=255, B=255]
126720,Color [A=255, R=0, G=0, B=0]
141400,Color [A=255, R=255, G=255, B=255]
141440,Color [A=255, R=0, G=0, B=0]
141560,Color [A=255, R=255, G=255, B=255]
141600,Color [A=255, R=0, G=0, B=0]
148480,Color [A=255, R=255, G=255, B=255]
148560,Color [A=255, R=0, G=0, B=0]
179640,Color [A=255, R=255, G=255, B=255]
179680,Color [A=255, R=0, G=0, B=0]
179760,Color [A=255, R=255, G=255, B=255]
179800,Color [A=255, R=0, G=0, B=0]
179840,Color [A=255, R=255, G=255, B=255]
179880,Color [A=255, R=0, G=0, B=0]
180000,Color [A=255, R=255, G=255, B=255]
180040,Color [A=255, R=0, G=0, B=0]
180160,Color [A=255, R=255, G=255, B=255]
180200,Color [A=255, R=0, G=0, B=0]
195280,Color [A=255, R=255, G=255, B=255]
195360,Color [A=255, R=0, G=0, B=0]
203360,Color [A=255, R=255, G=255, B=255]
203400,Color [A=255, R=0, G=0, B=0]
204800,Color [A=255, R=255, G=255, B=255]
204840,Color [A=255, R=0, G=0, B=0]
206800,Color [A=255, R=255, G=255, B=255]
206840,Color [A=255, R=0, G=0, B=0]
208280,Color [A=255, R=255, G=255, B=255]
208320,Color [A=255, R=0, G=0, B=0]
219880,Color [A=255, R=255, G=255, B=255]
219920,Color [A=255, R=0, G=0, B=0]
225880,Color [A=255, R=255, G=255, B=255]
225920,Color [A=255, R=0, G=0, B=0]
228840,Color [A=255, R=255, G=255, B=255]
228880,Color [A=255, R=0, G=0, B=0]
231040,Color [A=255, R=255, G=255, B=255]
231080,Color [A=255, R=0, G=0, B=0]
234200,Color [A=255, R=255, G=255, B=255]
234240,Color [A=255, R=0, G=0, B=0]
237680,Color [A=255, R=255, G=255, B=255]
237720,Color [A=255, R=0, G=0, B=0]
238520,Color [A=255, R=255, G=255, B=255]
238560,Color [A=255, R=0, G=0, B=0]
238880,Color [A=255, R=255, G=255, B=255]
238920,Color [A=255, R=0, G=0, B=0]
239520,Color [A=255, R=255, G=255, B=255]
239560,Color [A=255, R=0, G=0, B=0]
247880,Color [A=255, R=255, G=255, B=255]
247920,Color [A=255, R=0, G=0, B=0]
251640,Color [A=255, R=255, G=255, B=255]
251680,Color [A=255, R=0, G=0, B=0]
252720,Color [A=255, R=255, G=255, B=255]
252760,Color [A=255, R=0, G=0, B=0]
263880,Color [A=255, R=255, G=255, B=255]
263920,Color [A=255, R=0, G=0, B=0]
264040,Color [A=255, R=255, G=255, B=255]
264080,Color [A=255, R=0, G=0, B=0]
297720,Color [A=255, R=255, G=255, B=255]
297760,Color [A=255, R=0, G=0, B=0]
310480,Color [A=255, R=255, G=255, B=255]
310520,Color [A=255, R=0, G=0, B=0]
322760,Color [A=255, R=255, G=255, B=255]
322800,Color [A=255, R=0, G=0, B=0]
326440,Color [A=255, R=255, G=255, B=255]
326480,Color [A=255, R=0, G=0, B=0]
336200,Color [A=255, R=255, G=255, B=255]
336240,Color [A=255, R=0, G=0, B=0]
372120,Color [A=255, R=255, G=255, B=255]
372160,Color [A=255, R=0, G=0, B=0]
383760,Color [A=255, R=255, G=255, B=255]
383800,Color [A=255, R=0, G=0, B=0]
388520,Color [A=255, R=255, G=255, B=255]
388560,Color [A=255, R=0, G=0, B=0]
403560,Color [A=255, R=255, G=255, B=255]
403600,Color [A=255, R=0, G=0, B=0]
403640,Color [A=255, R=255, G=255, B=255]
403680,Color [A=255, R=0, G=0, B=0]
403720,Color [A=255, R=255, G=255, B=255]
403760,Color [A=255, R=0, G=0, B=0]
404160,Color [A=255, R=255, G=255, B=255]
404240,Color [A=255, R=0, G=0, B=0]
404320,Color [A=255, R=255, G=255, B=255]
404360,Color [A=255, R=0, G=0, B=0]
